Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross(M),Updated Genre
Avengers: Endgame,181,"Action, Adventure, Drama",8.4,PG-13,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",1016619,2019,858.37,Action
Avengers: Infinity War,149,"Action, Adventure, Sci-Fi",8.4,PG-13,Anthony Russo,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",983910,2018,678.82,Action
Kaakkaa Muttai,91,"Comedy, Drama",8.4,Not Rated,M. Manikandan,"Ramesh, J. Vignesh, Aishwarya Rajesh, Ramesh Thilak",6790,2014,0.0,Comedy
Ulidavaru Kandanthe,154,"Crime, Drama, Thriller",8.4,Not Rated,Rakshit Shetty,"Kishore Kumar G., Rakshit Shetty, Thara, Achyuth Kumar",7732,2014,0.0,Crime
Coco,105,"Animation, Adventure, Comedy",8.4,PG,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",463643,2017,209.73,Animation
Wheels,115,Drama,8.4,R,Tim Gagliardo,"Donavon Warren, Patrick Hume, Diana Gettinger, Kevin McCorkle",23705,2014,0.0,Drama
Django Unchained,165,"Drama, Western",8.4,R,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",1473089,2012,162.81,Drama
In Montauk,69,"Drama, Romance",8.4,Not Rated,Kim Cummings,"Nina Kaczorowski, Lukas Hassel, George Katt, Carolina Caro",5090,2012,0.0,Drama
Thulladha Manamum Thullum,170,"Drama, Romance",8.4,Not Rated,Ezhil,"Thalapathy Vijay, Simran, Dhamu, Vaiyapuri",5615,1999,0.0,Drama
The Dark Knight Rises,164,"Action, Crime, Drama",8.4,PG-13,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",1620132,2012,448.14,Action
Colour Photo,140,Drama,8.4,Not Rated,Sandeep Raj,"Suhas, Chandini Chowdary, Suneel, Harsha Chemudu",5156,2020,0.0,Drama
3 Idiots,170,"Comedy, Drama",8.4,PG-13,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",379203,2009,6.53,Comedy
In the Name of God,168,Drama,8.4,Not Rated,Shoaib Mansoor,"Shaan Shahid, Fawad Khan, Iman Ali, Austin Marie Sayre",9285,2007,0.0,Drama
Agent Sai Srinivasa Athreya,148,"Comedy, Crime, Mystery",8.4,Not Rated,Swaroop Rsj,"Naveen Polishetty, Shruti Sharma, Krishneswara Rao, Suhas",12376,2019,0.0,Comedy
Like Stars on Earth,165,"Drama, Family",8.4,PG,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma",185899,2007,1.22,Drama
WALL·E,98,"Animation, Adventure, Family",8.4,G,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",1070438,2008,223.81,Animation
Bizim Aile,88,"Comedy, Drama, Family",8.4,Not Rated,Ergin Orbey,"Münir Özkul, Adile Nasit, Tarik Akan, Itir Esen",6561,1975,0.0,Comedy
The Lives of Others,137,"Drama, Mystery, Thriller",8.4,R,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur",380071,2006,11.29,Drama
Pithamagan,139,"Action, Drama",8.4,Not Rated,Bala,"Vikram, Suriya, Laila, Sangeetha",6544,2003,0.0,Action
Virumandi,175,"Action, Drama, Thriller",8.4,Not Rated,Kamal Haasan,"Kamal Haasan, Abhirami, Pasupathy, Napolean",5958,2004,0.0,Action
Oldboy,120,"Action, Drama, Mystery",8.4,R,Park Chan-wook,"Choi Min-sik, Yoo Ji-Tae, Kang Hye-jeong, Kim Byeong-Ok",555538,2003,0.71,Action
Kannathil Muthamittal,136,"Action, Drama, War",8.4,Not Rated,Mani Ratnam,"Madhavan, Simran, Prakash Raj, Nandita Das",8304,2002,0.0,Action
Frozen Stiff,90,"Comedy, Drama",8.4,Not Rated,Milorad Milinkovic,"Nikola Djuricko, Sonja Kolacaric, Tara Manic, Srdjan 'Zika' Todorovic",9240,2002,0.0,Comedy
King of the Doormen,84,"Comedy, Drama",8.4,Not Rated,Zeki Ökten,"Kemal Sunal, Sevda Ferdag, Bilge Zobu, Sevket Altug",12256,1976,0.0,Comedy
Mudhalvan,169,"Action, Drama, Thriller",8.4,Not Rated,S. Shankar,"Arjun Sarja, Manisha Koirala, Raghuvaran, Vadivelu",7527,1999,0.0,Action
Memento,113,"Mystery, Thriller",8.4,R,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",1195116,2000,25.54,Mystery
Cat City,96,"Animation, Adventure, Comedy",8.4,Not Rated,Béla Ternovszky,"Miklós Benedek, Gyula Bodrogi, Ilona Béres, Péter Haumann",9873,1986,0.0,Animation
Princess Mononoke,134,"Animation, Action, Adventure",8.4,PG-13,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup",376532,1997,2.38,Animation
Satantango,439,Drama,8.4,Not Rated,Béla Tarr,"Mihály Vig, Putyi Horváth, László feLugossy, Éva Almássy Albert",10634,1994,0.0,Drama
We Are Not Angels,98,"Comedy, Fantasy, Romance",8.4,Not Rated,Srdjan Dragojevic,"Nikola Kojo, Milena Pavlovic, Branka Katic, Srdjan 'Zika' Todorovic",8731,1992,0.0,Comedy
A Brighter Summer Day,237,"Crime, Drama, Romance",8.4,Not Rated,Edward Yang,"Chang Chen, Lisa Yang, Kuo-Chu Chang, Elaine Jin",9608,1991,0.0,Crime
Don't Let Them Shoot the Kite,100,"Crime, Drama",8.4,Not Rated,Tunç Basaran,"Ozan Bilen, Nur Sürer, Füsun Demirel, Güzin Özipek",6569,1989,0.0,Crime
Jaane Bhi Do Yaaro,132,"Comedy, Crime, Drama",8.4,Not Rated,Kundan Shah,"Naseeruddin Shah, Ravi Baswani, Bhakti Barve, Satish Shah",13887,1983,0.0,Comedy
Indiana Jones and the Raiders of the Lost Ark,115,"Action, Adventure",8.4,PG,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies",935214,1981,248.16,Action
The Shining,146,"Drama, Horror",8.4,R,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",972217,1980,44.02,Drama
Apocalypse Now,147,"Drama, Mystery, War",8.4,R,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest",644230,1979,83.47,Drama
Alien,117,"Horror, Sci-Fi",8.4,R,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright",844014,1979,78.9,Horror
Only Old Men Are Going to Battle,92,"Comedy, Drama, War",8.4,Not Rated,Leonid Bykov,"Leonid Bykov, Sergey Podgornyy, Sergei Ivanov, Rustam Sagdullaev",5007,1974,0.0,Comedy
Gentlemen of Fortune,88,"Comedy, Crime, Drama",8.4,TV-13,Aleksandr Seryy,"Evgeniy Leonov, Georgiy Vitsin, Saveliy Kramarov, Radner Muratov",11381,1971,0.0,Comedy
The Diamond Arm,94,"Adventure, Comedy, Crime",8.4,Not Rated,Leonid Gaidai,"Yuriy Nikulin, Nina Grebeshkova, Andrey Mironov, Anatoliy Papanov",14399,1969,0.0,Adventure
Samurai Rebellion,128,Drama,8.4,Not Rated,Masaki Kobayashi,"Toshirô Mifune, Yôko Tsukasa, Gô Katô, Tatsuyoshi Ehara",12389,1967,0.0,Drama
"Kidnapping, Caucasian Style",82,"Adventure, Comedy, Drama",8.4,TV-13,Leonid Gaidai,"Aleksandr Demyanenko, Natalya Varley, Vladimir Etush, Frunzik Mkrtchyan",11876,1967,0.0,Adventure
Guide,120,"Drama, Musical, Romance",8.4,Not Rated,Vijay Anand,"Dev Anand, Waheeda Rehman, Leela Chitnis, Anwar Hussain",7959,1965,0.0,Drama
Red Beard,185,Drama,8.4,Not Rated,Akira Kurosawa,"Toshirô Mifune, Yûzô Kayama, Tsutomu Yamazaki, Reiko Dan",18639,1965,0.0,Drama
High and Low,143,"Crime, Drama, Mystery",8.4,Not Rated,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa",41791,1963,0.0,Crime
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,"Comedy, War",8.4,PG,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",475887,1964,0.28,Comedy
Witness for the Prosecution,116,"Crime, Drama, Mystery",8.4,Approved,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",120484,1957,8.18,Crime
Paths of Glory,88,"Drama, War",8.4,Approved,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready",191307,1957,0.0,Drama
Pather Panchali,125,Drama,8.4,Not Rated,Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee, Chunibala Devi",30626,1955,0.54,Drama
Sansho the Bailiff,124,Drama,8.4,Not Rated,Kenji Mizoguchi,"Kinuyo Tanaka, Yoshiaki Hanayagi, Kyôko Kagawa, Eitarô Shindô",16099,1954,0.0,Drama
Sunset Blvd.,110,"Drama, Film-Noir",8.4,Passed,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",215540,1950,0.0,Drama
Children of Paradise,189,"Drama, Romance",8.4,Not Rated,Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Pierre Renoir",19531,1945,0.0,Drama
The Great Dictator,125,"Comedy, Drama, War",8.4,G,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner",217989,1940,0.29,Comedy
Pocket Hercules: Naim Süleymanoglu,141,"Biography, Drama, Sport",8.3,Not Rated,Özer Feyzioglu,"Hayat Van Eck, Selen Öztürk, Yetkin Dikinciler, Gürkan Uygun",11388,2019,0.0,Biography
Chhichhore,143,"Comedy, Drama, Romance",8.3,Not Rated,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Babbar",47870,2019,0.9,Comedy
1917,119,"Action, Drama, War",8.3,R,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",533526,2019,159.23,Action
Uri: The Surgical Strike,138,"Action, Drama, War",8.3,Not Rated,Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam",55450,2019,4.19,Action
Tumbbad,104,"Drama, Fantasy, Horror",8.3,Not Rated,Rahi Anil Barve,"Sohum Shah, Jyoti Malshe, Anita Date, Ronjini Chakraborty",40036,2018,0.0,Drama
K.G.F: Chapter 1,156,"Action, Crime, Drama",8.3,Not Rated,Prashanth Neel,"Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois",55283,2018,0.0,Action
Theeran Adhigaram Ondru,157,"Action, Crime, Thriller",8.3,Not Rated,H. Vinoth,"Karthi, Rakul Preet Singh, Abhimanyu Singh, Bose Venkat",13504,2017,0.0,Action
Dhuruvangal Pathinaaru,105,"Crime, Drama, Mystery",8.3,Not Rated,Karthick Naren,"Rahman, Prakash Raghavan, Sharath Kumar, Santhosh Krishna",15021,2016,0.0,Crime
Vikram Vedha,147,"Action, Crime, Drama",8.3,Not Rated,Gayatri,"Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir",36073,2017,0.0,Action
Kirik Party,159,"Comedy, Drama",8.3,Not Rated,Rishab Shetty,"Rakshit Shetty, Rashmika Mandanna, Samyuktha Hegde, Achyuth Kumar",5394,2016,0.0,Comedy
Pelli Choopulu,125,"Comedy, Drama, Romance",8.3,Not Rated,Tharun Bhascker Dhaassyam,"Abhay Bethiganti, Keshav Deepak, Vijay Deverakonda, Anish Kuruvilla",7076,2016,0.0,Comedy
Kshanam,110,"Mystery, Thriller",8.3,Not Rated,Ravikanth Perepu,"Adivi Sesh, Adah Sharma, Anasuya Bharadwaj, Satyadev Kancharana",5279,2016,0.0,Mystery
Sairat,174,"Drama, Romance",8.3,Not Rated,Nagraj Manjule,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde",12468,2016,0.0,Drama
Nil Battey Sannata,100,"Drama, Family",8.3,Not Rated,Ashwiny Iyer Tiwari,"Swara Bhaskar, Abhinay Raj Singh, Ratna Pathak Shah, Riya Shukla",6547,2015,0.0,Drama
Maheshinte Prathikaaram,120,"Comedy, Drama, Thriller",8.3,Not Rated,Dileesh Pothan,"Fahadh Faasil, Aparna Balamurali, Soubin Shahir, Alencier Ley Lopez",8582,2016,0.0,Comedy
Premam,156,"Comedy, Drama, Romance",8.3,Not Rated,Alphonse Puthren,"Nivin Pauly, Sai Pallavi, Madonna Sebastian, S.V. Krishna Shankar",19928,2015,0.18,Comedy
RangiTaranga,149,"Mystery, Thriller",8.3,Not Rated,Anup Bhandari,"Nirup Bhandari, Radhika Narayan, Avantika Shetty, Sai Kumar",13356,2015,0.0,Mystery
Bangalore Days,171,"Comedy, Drama, Romance",8.3,Not Rated,Anjali Menon,"Nazriya Nazim, Nivin Pauly, Dulquer Salmaan, Fahadh Faasil",19352,2014,0.13,Comedy
Jigarthanda,171,"Action, Comedy, Crime",8.3,Not Rated,Karthik Subbaraj,"Siddharth, Bobby Simha, Lakshmi Menon, Nassar",11530,2014,0.0,Action
Drishyam,160,"Crime, Drama, Thriller",8.3,Not Rated,Jeethu Joseph,"Mohanlal, Meena, Asha Sharath, Ansiba",39802,2013,0.0,Crime
Hope,122,Drama,8.3,Not Rated,Joon-ik Lee,"Re Lee, Sol Kyung-gu, Ji-won Uhm, Kim Hae-sook",7136,2013,0.0,Drama
Soodhu Kavvum,135,"Comedy, Crime, Thriller",8.3,Not Rated,Nalan Kumarasamy,"Vijay Sethupathi, Sanchita Shetty, Radha Ravi, M.S. Bhaskar",10127,2013,0.0,Comedy
It's Such a Beautiful Day,62,"Animation, Comedy, Drama",8.3,Not Rated,Don Hertzfeldt,error,13139,2012,0.0,Animation
Lucia,135,"Drama, Sci-Fi, Thriller",8.3,Not Rated,Pawan Kumar,error,12152,2013,0.0,Drama
The Hunt,115,Drama,8.3,R,Thomas Vinterberg,error,314841,2012,0.69,Drama
A Separation,123,Drama,8.3,PG-13,Asghar Farhadi,error,238927,2011,7.1,Drama
Pranchiyettan and the Saint,140,"Comedy, Drama",8.3,Not Rated,Ranjith,error,5456,2010,0.0,Comedy
The Great Indian Kitchen,100,"Comedy, Drama",8.3,Not Rated,Jeo Baby,error,7735,2021,0.0,Comedy
The Lady of Heaven,141,"Action, Drama, History",8.3,R,Eli King,error,9285,2021,0.0,Action
Incendies,130,"Drama, Mystery, War",8.3,R,Denis Villeneuve,error,169435,2010,6.86,Drama
Demon Slayer: Mugen Train,117,"Animation, Action, Adventure",8.3,R,Haruo Sotozaki,error,48801,2020,47.7,Animation
The Father,97,"Drama, Mystery",8.3,PG-13,Florian Zeller,error,125762,2020,0.0,Drama
Khosla Ka Ghosla!,135,"Comedy, Crime, Drama",8.3,Not Rated,Dibakar Banerjee,error,23458,2006,0.03,Comedy
Anniyan,181,"Action, Drama, Thriller",8.3,Not Rated,S. Shankar,error,17250,2005,0.0,Action
Inglourious Basterds,153,"Adventure, Drama, War",8.3,R,Quentin Tarantino,error,1374736,2009,120.54,Adventure
Eternal Sunshine of the Spotless Mind,108,"Drama, Romance, Sci-Fi",8.3,R,Michel Gondry,error,969586,2004,34.4,Drama
From the Village to the City,77,"Adventure, Comedy, Crime",8.3,Not Rated,Ertem Egilmez,error,10655,1974,0.0,Adventure
Alaipayuthey,156,"Drama, Musical, Romance",8.3,Not Rated,Mani Ratnam,"Madhavan, Shalini, Swarnamalya, V. Natarajan",6243,2000,0.0,Drama
Angoor,131,Comedy,8.3,Not Rated,Gulzar,"Sanjeev Kumar, Moushumi Chatterjee, Deven Verma, Aruna Irani",5228,1982,0.0,Comedy
Amélie,122,"Comedy, Romance",8.3,R,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta",737379,2001,33.23,Comedy
Satya,170,"Action, Crime, Drama",8.3,Not Rated,Ram Gopal Varma,"J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar, Paresh Rawal",14749,1998,0.0,Action
Requiem for a Dream,102,Drama,8.3,R,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",812375,2000,3.64,Drama
American Beauty,122,Drama,8.3,R,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",1123310,1999,130.1,Drama
Baasha,145,"Action, Crime, Drama",8.3,Not Rated,Suresh Krishna,"Rajinikanth, Nagma, Raghuvaran, Vijayakumar",10070,1995,0.0,Action
The Little Fox,79,"Animation, Adventure, Comedy",8.3,Not Rated,Attila Dargay,"Judit Pogány, József Gyabronka, Teri Földi, Gyula Szabó",5587,1981,0.0,Animation
Good Will Hunting,126,"Drama, Romance",8.3,R,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård",925909,1997,138.43,Drama
Children of Heaven,89,"Drama, Family, Sport",8.3,PG,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi",72633,1997,0.93,Drama
Toy Story,81,"Animation, Adventure, Comedy",8.3,G,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",951576,1995,191.8,Animation
Braveheart,178,"Biography, Drama, History",8.3,R,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen",1007962,1995,75.6,Biography
To Live,133,"Drama, War",8.3,Not Rated,Yimou Zhang,"You Ge, Gong Li, Ben Niu, Wu Jiang",17664,1994,2.33,Drama
Reservoir Dogs,99,"Crime, Drama, Thriller",8.3,R,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn",980139,1992,2.83,Crime
Close-Up,98,"Biography, Crime, Drama",8.3,Not Rated,Abbas Kiarostami,"Hossain Sabzian, Mohsen Makhmalbaf, Abolfazl Ahankhah, Mehrdad Ahankhah",18798,1990,0.0,Biography
Full Metal Jacket,116,"Drama, War",8.3,R,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin",716418,1987,46.36,Drama
Come and See,142,"Drama, Thriller, War",8.3,Not Rated,Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas",72441,1985,0.0,Drama
Aliens,137,"Action, Adventure, Sci-Fi",8.3,R,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",693137,1986,85.16,Action
Once Upon a Time in America,229,"Crime, Drama",8.3,R,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams",338715,1984,5.32,Crime
Amadeus,160,"Biography, Drama, Music",8.3,R,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",390035,1984,51.97,Biography
Scarface,170,"Crime, Drama",8.3,R,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio",800408,1983,45.6,Crime
Star Wars: Episode VI - Return of the Jedi,131,"Action, Adventure, Fantasy",8.3,PG,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1009989,1983,309.13,Action
Das Boot,149,"Drama, War",8.3,R,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch",245150,1981,11.49,Drama
The Lion of the Desert,173,"Biography, Drama, History",8.3,PG,Moustapha Akkad,"Anthony Quinn, Oliver Reed, Rod Steiger, Irene Papas",15368,1980,3.27,Biography
Office Romance,159,"Comedy, Drama, Romance",8.3,Not Rated,Eldar Ryazanov,"Alisa Freyndlikh, Andrey Myagkov, Svetlana Nemolyaeva, Oleg Basilashvili",9037,1977,0.0,Comedy
The Ascent,111,"Drama, War",8.3,Not Rated,Larisa Shepitko,"Boris Plotnikov, Vladimir Gostyukhin, Sergey Yakovlev, Lyudmila Polyakova",8154,1977,0.0,Drama
Chupke Chupke,146,"Comedy, Drama, Romance",8.3,Not Rated,Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bachchan",12362,1975,0.0,Comedy
Dersu Uzala,142,"Adventure, Biography, Drama",8.3,G,Akira Kurosawa,"Maksim Munzuk, Yuriy Solomin, Mikhail Bychkov, Vladimir Khrulyov",27400,1975,0.0,Adventure
The Sting,129,"Comedy, Crime, Drama",8.3,PG,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",255125,1973,159.6,Comedy
Ivan Vasilyevich Changes His Profession,88,"Adventure, Comedy, Sci-Fi",8.3,TV-G,Leonid Gaidai,"Yuriy Yakovlev, Leonid Kuravlyov, Aleksandr Demyanenko, Saveliy Kramarov",16278,1973,0.0,Adventure
A Clockwork Orange,136,"Crime, Sci-Fi",8.3,R,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",802191,1971,6.21,Crime
Twelve Chairs,153,"Adventure, Comedy, Crime",8.3,PG-13,Leonid Gaidai,"Archil Gomiashvili, Sergey Filippov, Mikhail Pugovkin, Glikeriya Bogdanova-Chesnokova",6411,1971,0.0,Adventure
War and Peace,422,"Drama, History, Romance",8.3,GP,Sergey Bondarchuk,"Lyudmila Saveleva, Vyacheslav Tikhonov, Sergey Bondarchuk, Boris Zakhava",7069,1965,0.13,Drama
2001: A Space Odyssey,149,"Adventure, Sci-Fi",8.3,G,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",644778,1968,56.95,Adventure
Lawrence of Arabia,228,"Adventure, Biography, Drama",8.3,Approved,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",285331,1962,44.82,Adventure
Rocco and His Brothers,179,"Crime, Drama, Sport",8.3,Not Rated,Luchino Visconti,"Alain Delon, Renato Salvatori, Annie Girardot, Claudia Cardinale",18446,1960,0.0,Crime
The Apartment,125,"Comedy, Drama, Romance",8.3,Approved,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston",176264,1960,18.6,Comedy
North by Northwest,136,"Adventure, Mystery, Thriller",8.3,Approved,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",318856,1959,13.28,Adventure
Vertigo,128,"Mystery, Romance, Thriller",8.3,PG,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore",390875,1958,3.2,Mystery
The Cranes Are Flying,95,"Drama, Romance, War",8.3,Not Rated,Mikhail Kalatozov,"Tatyana Samoylova, Aleksey Batalov, Vasiliy Merkurev, Aleksandr Shvorin",16900,1957,0.02,Drama
A Man Escaped,101,"Drama, Thriller, War",8.3,Not Rated,Robert Bresson,"François Leterrier, Charles Le Clainche, Maurice Beerblock, Roland Monod",21278,1956,0.0,Drama
Aparajito,110,Drama,8.3,Not Rated,Satyajit Ray,"Pinaki Sengupta, Smaran Ghosal, Kamala Adhikari, Lalchand Banerjee",13550,1956,0.17,Drama
Ordet,126,Drama,8.3,Not Rated,Carl Theodor Dreyer,"Henrik Malberg, Emil Hass Christensen, Preben Lerdorff Rye, Hanne Aagesen",15372,1955,0.0,Drama
Singin' in the Rain,103,"Comedy, Musical, Romance",8.3,G,Stanley Donen,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",234374,1952,8.82,Comedy
Ikiru,143,Drama,8.3,Not Rated,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka",75856,1952,0.06,Drama
Los Olvidados,80,"Crime, Drama",8.3,Not Rated,Luis Buñuel,"Alfonso Mejía, Roberto Cobo, Estela Inda, Miguel Inclán",19890,1950,0.0,Crime
Late Spring,108,Drama,8.3,Not Rated,Yasujirô Ozu,"Chishû Ryû, Setsuko Hara, Yumeji Tsukioka, Haruko Sugimura",16478,1949,0.0,Drama
Bicycle Thieves,89,Drama,8.3,Not Rated,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri",159203,1948,0.33,Drama
Double Indemnity,107,"Crime, Drama, Film-Noir",8.3,Passed,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr",152964,1944,5.72,Crime
Citizen Kane,119,"Drama, Mystery",8.3,PG,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead",430713,1941,1.59,Drama
M,99,"Crime, Mystery, Thriller",8.3,Passed,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke",153851,1931,0.03,Crime
Metropolis,153,"Drama, Sci-Fi",8.3,Not Rated,Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge",170110,1927,1.24,Drama
The Kid,68,"Comedy, Drama, Family",8.3,Passed,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller",123265,1921,5.45,Comedy
Android Kunjappan Ver 5.25,140,"Comedy, Drama, Sci-Fi",8.2,PG,Ratheesh Balakrishnan Poduval,"Soubin Shahir, Suraj Venjaramoodu, Kendy Zirdo, Saiju Kurup",5557,2019,0.0,Comedy
Champion,130,"Biography, Drama, Romance",8.2,Not Rated,Ahmet Katiksiz,"Ekin Koç, Farah Zeynep Abdullah, Fikret Kuskan, Sibel Tasçioglu",11664,2018,0.0,Biography
Andhadhun,139,"Comedy, Crime, Music",8.2,Not Rated,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan",87651,2018,1.37,Comedy
Thadam,138,"Crime, Mystery, Thriller",8.2,Not Rated,Magizh Thirumeni,"Arun Vijay, Tanya Hope, Smruthi Venkat, Fefsi Vijayan",6807,2019,0.0,Crime
Green Book,130,"Biography, Comedy, Drama",8.2,PG-13,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",452053,2018,85.08,Biography
